,413FM0J_sample001,YA4JE89_sample001,AI8K1H6_sample002,GM30XFD_sample003,YA4JE89_sample002,JD32HPP_sample005,AI8K1H6_sample001,413FM0J_sample002,128T8B4_sample025,UYX1M7A_sample004,2I1Y0Z9_sample001,2I1Y0Z9_sample002,Z9UVZX7_sample001,ZF8WDFS_sample005,0QJ6J2T_sample001,314Z52D_sample001,P7IG2M6_sample001,77SHGAG_sample002,77SHGAG_sample001,3RGFT20_sample004,IYRVLF5_sample001,H84559E_sample004,7F3ZM3T_sample001,F27B011_sample001,C5J912G_sample001,P7IG2M6_sample002,ERUH8Y4_sample001,Q15VFHB_sample002,3WR61X3_sample001,1KEQR84_sample002,91W7C88_sample003,K5LA59U_sample002,JD32HPP_sample003,1KEQR84_sample001,Z9UVZX7_sample004,IYRVLF5_sample002,I9178W9_sample001,GM30XFD_sample002,Z9UVZX7_sample002,5OCQITY_sample001,Q15VFHB_sample001,K5LA59U_sample001,2DZJ8RE_sample002,50RWL61_sample002,O697I0L_sample001,BV5W979_sample001,50RWL61_sample003,BV5W979_sample003,H84559E_sample001,UYX1M7A_sample003,JD32HPP_sample002,LPHTEXM_sample001,C18HPI3_sample003,H84559E_sample003,1KEQR84_sample003,BV5W979_sample002,UYX1M7A_sample005,3CA9B3H_sample001,K5LA59U_sample003,ZF8WDFS_sample007,GM30XFD_sample001,9M7H5EI_sample001,UYX1M7A_sample002,2DZJ8RE_sample001,91W7C88_sample002,Q15VFHB_sample004,128T8B4_sample029,50RWL61_sample001,C18HPI3_sample001,C18HPI3_sample002,BYPLWTE_sample001,IO8L3WL_sample001,JD32HPP_sample004,37F102B_sample001,7UV42I3_sample001,U05HLZY_sample001,37F102B_sample002,3RGFT20_sample001,ZF8WDFS_sample004,LPHTEXM_sample002,91W7C88_sample001,UYX1M7A_sample001,2W5JG33_sample080,91W7C88_sample004,JD32HPP_sample001,U05HLZY_sample002,O3F124I_sample001,BV5W979_sample004
ZNF264_M08235_2.00,0,0,0,0,0,0,0,9,0,0,0,0,0,0,7,0,10,14,0,0,24,0,0,30,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,18,9,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,16,0,24,0,0,16,0,0,0,0,0,0,0,0
ZN502_ZN502_HUMAN.H11MO.0.C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0,0,0,0,0,0,0,0
ETS1_ETS1_HUMAN.H11MO.0.A,0,0,24,0,52,0,0,24,0,0,0,0,0,0,23,18,0,43,0,29,0,0,4,54,55,0,49,0,14,0,0,0,0,0,53,42,67,0,0,42,0,0,50,0,59,0,46,0,0,56,0,0,0,0,0,0,0,36,0,0,66,76,0,0,0,0,0,0,0,0,11,50,0,0,32,0,68,0,0,0,0,0,0,0,0,43,18,0
ZNF317_M08242_2.00,0,0,0,0,0,0,0,2,0,0,3,0,0,0,6,0,6,11,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,4,0,0,0,0,0,0,0,10,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,20,0,0,0,0,0,0,0,0,0,0,0
JUN_M07835_2.00,0,0,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,9,0,12,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,16,0,0,10,0,0,13,0,0,0,15,0,0,19,0,0,0,0,0,0,0,0,0,0,0,13,0,16,15,0,0,0,0,17,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0
SREBF1_MA0829.2,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,17,0,0,15,14,0,13,0,0,0,0,0,0,0,19,0,0,0,0,18,0,0,0,0,21,10,0,0,0,0,0,0,14,19,0,17,0,0,0,0,0,0,0,17,0,14,0,0,0,0,0,17,0,0,0,9,12,0,0,9,0,0,0,0,0,0,0,0
PDX1_PDX1_HUMAN.H11MO.0.A,0,0,0,0,7,0,0,0,0,6,0,0,0,0,0,0,6,2,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,7,0,0,0,0,0,10,23,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,18,0,0,0,0,0,0,4,0,0,0,0
SOX17_SOX17_HUMAN.H11MO.0.C,0,0,0,0,0,0,11,7,0,0,8,0,0,0,7,0,0,21,0,25,23,0,0,17,25,0,17,0,5,0,0,0,0,0,0,0,24,0,0,18,0,0,27,0,19,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,28,0,0,25,0,0,0,0,0,0,18,0,0,0,0,28,0,0,0,0,0,0,0,0,0,2,0
MZF1_MA0056.2,0,0,0,0,0,0,11,16,0,0,0,0,0,0,6,16,20,0,27,0,24,0,0,22,21,0,32,0,5,0,0,0,0,0,0,0,21,0,0,19,0,0,0,0,27,14,21,0,0,0,0,13,0,0,0,0,0,22,0,0,0,33,0,0,0,18,0,0,0,0,0,21,0,0,12,24,0,0,0,0,0,0,0,0,0,0,0,0
STAT1_M08013_2.00,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,22,0,20,0,0,38,0,0,34,38,0,37,0,0,0,0,0,0,0,0,0,32,0,0,33,0,0,50,0,39,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,46,0,0,0,0,0,0,0,0,0,36,0,0,23,0,0,0,0,0,0,0,0,0,0,0,14,0
